"Region 4(High Valence, Low Intensity)",,"Region 1 (High Valence, High Intensity)",,"Region 3( Low Valence, Low Intensity)",,"Region 2 (Low Valence, High Intensity)",
"I can empathize with your issue. I cannot give you advice but if you need to vent some of this frustration, my door is open",I understand that soldier are going to screw up. You remember when you first started. Communicating with your wife needs to be your focus.,Would approving leave help you get away from work for a while? Maybe destress with the wife.,My door is always open for you to come vent when the troops do dumb stuff,You cannot be venting at troops for your personal problems. You need to find a better way to work with them. Stop drinking should be your first step.,"This is the army, and those troops need to be trained. Swearing at them will get us nowhere. You need to work harder to control yourself",I do not care about your personal problems. They do not belong here. If you keep swearing at troops you will be in trouble and promotions will not come your way.,"If you talk that way your wife the way you talk to troops, I can see why your wife treats you like that. You should get a negative counseling for how you treat your wife."
"SSG Burch, family issues are family issues. Come talk to me about it, and please try not to take it out on your subordinates.","SSg, souns like you are going though a very trying time right now.  I have some resourses you and your spose could take part in to help remedy the situation and I will work to ensure you have the time to take care of this.","Its good to let out some stress, but try not to do it on your subordinates. You’ll be fine, lets make a time and talk about it later when everything is cooled off.","SSg, you are a great NCO an I have seen you do great things with the platoon.  When things get hard at home I want you to know that there is always someone that you can reach out to whether it be me or the platoon sergeant.  We are always more than happy to help with any situation no matter what its is.","Don’t scream at your subordinates, they probably have similar life issues back at home too.","SSg, you should not be talking to soldiers like that.  It is in no way acceptable and I think you need to look within and find new ways to treat people.",Why did you yell at him like that. You can’t vent off your frustrations at  your subordinates. Work on yourself first.,This is not the first time that we have heard you lash out at a soldier and if it happens again we will have to take corrective action to find a more permanent solution to the issue.
"I appreciate you taking the time to speak with me about this matter, SSG Burch.  I believe this is an easy fix.  Please take the rest of the day off and go spend time with your wife and kids, especially your wife.  ",Thank you for being up front with me on this personal matter.  Take the rest of the week off to spend time with your wife and work on your matters together.  Family is everything and I would not want you to lose yours.,"Please take as much time as you need to assess this matter with your family and yourself.  If you and your wife need to see someone professionally, please let me know and we can make arrangements.  Let me know if there is anything else I can do.","We are also your family here and we want what is best for you.  If you ever need someone to speak with, my door is always open to you. ","This is not the right way to handle this situation, in front of the squad.  For next time, please always speak with the candidate in private instead of berating him in front of his peers.","SSG, while I understand your situation, please refrain from taking it out on soldiers who have nothing to do with your personal life.","SSG, if I ever see you doing this again, you will be relieved from your position.","SSG, this is a major concern and I will deal with this in a swift manner that may not be likeable to you."
"I understand, sergeant. Here are some resources that may be able to help you.","I get it man, but we need to bottle that up while we are here for our soldiers.","I understand, how about we hold a class to show them how to do it right.","I'm sorry to hear that, but when you are here, you need to support your soldiers. They are relying on you to set the example.","Ok, but you still need to leave it at home.","Alright, but yelling at your soldiers doesn't help the situation.",You need to calm down and let it go.,It doesn't matter. That is not how you talk to your subordinates.
"I understand, you've been working too hard. You need a couple of days to cool down and spend time with your family.","Okay, we can help you with your family. It's going to be alright, no need to get frustrated and take it out on your men.","Alright I heard enough, why don't you take leave and spend sometime with your wife.  It should help improve your relationship problems. ","Okay Sgt. why don't leave early today and spend some time with your wife. It should help relieve stress, and improve your relationship with her.",I understand your frustration Sgt. but that is no good to take it out on your soldiers. You are a leader and need to check your emotions. ,Taking it out on your squad isn't going to make your problems go away. It isn't their fault that you are going through a tough time.,So that's why you're verbally abusing a soldier? That is lousy logic and leadership Sgt. Burch!,"I don't care about your personal problems! You are a soldier and a leader, and need to act more of a professional around your squad."
SSG Burch I can see that you are experiencing some difficulties within your squad. Let me take care of this issue and I would like for you to take the rest of the afternoon off.,SSG Burch you are doing a very good job ensuring that the weapons are clean. This is very a very important task and I appreciate you showing so much emphasis towards having a clean weapon.,SSG Burch allow me to discipline the solider for not maintaining his equipment. ,"SSG Burch I see that you are working hard and dedicated to your soldiers success, thank you for your loyalty to this unit.","SSG Burch is there any way that you could change your behavior, you are being a poor leader right now.",Treating your subordinates with disrespect shows that you cannot handle these situations well. ,You need to change your behavior and treat your soldiers better or I am going to recommend that you are disciplined for a lack of respect.,"SSG Burch, why are you allowing your stress from home to flow into the workplace, that is very unprofessional."
It sounds like your having a tough time dealing with this. Ill be there to help anyway I can.,"I can definitely relate to this, it will get better.","I completely agree, these kind of issues suck to deal with. Tell me more about some of the arguments.",How could someone complain about all this when you provide so much of it. ,I still don't think you should talk to the soldiers like that but I understand how you are having a rough time at home. ,I know how tough this can be but you need to stay professional while here at work.,Those soldiers need to be taught like that to make sure they understand. I agree also that it is a huge amount of stress to be burdened like that. ,I don't understand how your family could be mad about that. I dont blame you for getting after the soldiers like that at all.
"Relax, army relationships are rarely easy, and I'm sure things at home will smooth out soon.","I know how you feel, and I can tell you that things will get better at home.",Would you like to take some leave time to smooth things out with your family for a bit?,You're a great squad leader and I appreciate everything you do for us. You're definitely better than what I saw out there.,"I get that you're upset, but that approach won't help your squad adjust to instructions, and they'll just resent you for it.",I understand but that kind of treatment isn't effective and won't be tolerated from leadership in my platoon.,"This is a professional environment, so leave your damn personal problems at the door, staff sergeant!","You're a squad leader, and it's about time you acted like one and stopped incorporating all your home-spun bullshit into my platoon!"
Hey SGT i know that family problems happen to everyone but instead of taking it out on the soldiers I can let you and your wife go to counseling and let you off a bit earlier to spend more time with them.,Hey SGT i know that back home is rough but we can go see the chaplain and have him talk to you for a bit and you can take the rest of the day off.,I know your wife may be mad at you now but I think you just need to spend more time with her so next week you can have a three day weekend.,I know back home is rough but ill take you out for lunch and we can talk about it and then i'll stay with your squad and clean weapons and you can leave for the rest of the day.,I know your wife and back home problems are bad but maybe you should get a divorce so you don't have to fight all the time.,"I know back home sucks but you can't call members of your team terrible names, that's like me pulling rank and berating you in front of your subordinates would suck right. I'm disappointed in your professionalism.",I don't care about your problems back home don't disrespect a private in front of the whole squad you idiot. You are one of the worst leaders in this platoon.,"I don't care about your problems, how about you act professional or i will counsel you and will find a way to get you an article 15 you keep acting like a dumb person."
"SSG Burch, I understand that you're going through some frustrating stuff at home. Hell, I've been there. But from now on, try to take it easy on the privates, hooah?","SSG Birch, times are tough, but that's no excuse. Can we work together to come to some solutions for you so that your personal life doesn't spill over into your professional interactions?","SSG Burch, I can't say it in front of the men, but weapons maintenance is one of the simplest tasks anyone can be assigned. I agree with you, if he wants to act like he's in BCT, let's treat him like it.","SSG Burch, while I don't use the same tactics as you, I know that everyone has their own leadership style. I support your actions, just not the time and place.","SSG Burch, you are being formally counseled for abusing a soldier. Repeated incidents like this can be cause for being chaptered out of the Army, I don't care how many years in you have.","SSG Burch, your personal troubles are spilling over into our professional world and tearing this unit apart. Since I won't stand for that, how about I consider transferring you?","SSG Burch, what the hell do you think you're doing? This isn't basic training. In this unit we treat people with respect. And if we don't you come to my office and get treated like I'm treating you right now, like a child.","I don't care what your wife said. I don't care if you lose the car in the divorce and she takes half and you really can't pay your bills. If your personal problems become a problem here again, I'm going to be your biggest problem."
I understand things are hard right now. I'll let you have a three-day pass this weekend so you can have some extra time to sort things out with your wife.,I understand exactly where you're coming from. I have occasional issues with my own wife as well. I often find doing a good job at work helps relieve some of the stress.,"Why don't you take next week off? I know things are hard, so go ahead and have a good week to recover.",Don't worry about the incident with Jones. You're still the best NCO in the company by a mile!,Sometimes I can't believe the immaturity I see in NCOs like you. Surely you should be able to leave your domestic problems at home.,Jones didn't deserve that. Your failing marriage really isn't his problem. Please don't let me see such behavior again.,That sort of behavior is absolutely unacceptable. Your failing marriage isn't Jones' problem!,"Since you're not enjoying your time at home, why don't you spend some more time here? Your weekend pass is canceled."
"Sounds like you've been having a rough time. Go take a break, and relax yourself for a bit.","Yeah, sometimes wives can be like that. If you need anything, let me know and I'll help any way I can.","Don't sweat it, wives always want to argue about something. Don't let her get you down...","Yeah, that's rough man, none of that is your fault. Tell you what, I'll buy you a drink at happy hour and we can talk more about it.",That is rough man. Maybe you are not paying enough attention to her? ,"I understand that, but that soldier has nothing to do with that. If you are having an issue like that at home, have you considered separation?","And? I don't care, you do not treat my soldiers like that. Otherwise I might have to fire you as Squad Leader.","We all have problems, but you don't see us bring them to work. If you can not bring it to work, probably time for a divorce."
"SSG Burch, I'm glad you brought this up to me and I truly want to help. Do you think couples counseling would benefit your situation? I can work with and around your schedule.","SSG Burch, I'm sorry to hear you're having issues at home. This weekend I'd like you to have a sober weekend and try to work on your family issues so they don't affect your work.","SSG Burch, don't worry about yelling at the soldiers, I understand your conflict. I want you to focus on fixing your family issues and I'll handle the platoon until you feel that you're ready to work effectively.","SSG Burch, the soldiers will be fine. My primary concern is you getting your family life back together. Take leave and try to fix the situation at your home and report back afterwards.","SSG Burch, you can't yell at the soldiers the way you did. You're supposed to be a role model and example for these soldiers and you're failing!","SSG Burch, that's not how a mature leader handles stress. You have to separate your home-life from your work-life in a matter that is professional. ","SSG Burch, I strongly dislike the way you talked to your soldiers. I'm going to counsel you.","SSG Burch, what you said to the soldiers was deplorable. I will be letting our Company Commander know what you said and have him/her deal with the situation."
"I understand the situation that you are in, how can I be of assistance?","i can see that you are under a great deal of stress, how about bringing your family over for dinner and we can help figure something out?","I can see you are under a lot of stress, how about taking the week off and getting some rest?","I appreciate the attention to detail that you put into your squad's performance, keep up the good work and ill see about promoting you soon. ","I understand the idiots that you are dealing with, but if you continue to overreact, i will be forced to counsel you. ","SSG, while i understand your situation, please refrain from taking it out on soliders who have nothing to do with your personal life.","what you are doing is completely inappropriate, and if I see it again, i will personally oversee your discharge.  ",You had better pull it together right now or im bringing you to the company commander. 
" Alright SSG, I understand things are rough at home right now, but you can't take it out on the troops. Why don't you take the rest of the day off and go relax? Don't go drinking, go fishing or hiking or hit the gym. Something productive.","Hey man, I'm not a therapist, nor am I married, but I'm pretty sure you just need to lay pipe on your wife, but hard. Y'know what I mean? Take the rest of the day off, go home and surprise her with a fancy dinner or some flowers, then go to pound town.","SSG, you're a professional right? and pros don't let personal problems become work problems, right? So just go out and show those privates how it's done. You can yell at them, but only if it's constructive. I won't tolerate abuse.",HELL YEAH SSG! Go out and show them the good word! Please never bring up your family life again.,"SSG, you oughta be ashamed. Don't you remember when you was a private? These kids are just trying to learn. Help em out. Don't abuse them. Teach them.","Hang your head in shame, SSG, if I, a wet behind the ears butter bar can see that you're fucking up, then it's time to change tactics. Don't abuse my men. Teach 'em. Lead 'em.",Fuck you and your family problems SSG. If I ever see you abusing my soldiers in public again I will fuck your world up and give that wife of yours something to complain about. Get out of my office!,"Stop being a dick, fuck face. Get the hell out of my office. Schmuck."
 I understand.  Marriage isn't easy especially in the military.  We should look into some marriage counseling to see if we can help you out.  I know your a good soldier but lets not let our person life interfere with work.,,Happy wife happy life.  How about you take the next couple of day off and you and you're wife can have some time to yourselves.  I have a certificate to this fancy restaurant I'd like to have also.   ,,It's not fair that you take you emotions out on your soldiers.  If your squad isn't squared away its not their fault its yours.  You've failed from a leaders standpoint.,,There one thing that I know you can control and that's your attitude.  If I see this again you will be receiving a counseling.  ,
I understand where you're coming from. I want you to take the rest of the day off. Go home and spend time with your wife.  ,Tell Jones to clean his weapon in a nicer way and head home immediately after so that you can spend time with your family.,You're doing a great job and I am confident that your work will only continue to improve. Take tomorrow off and make this a 4 day weekend so you can spend time with the family.,I agree that Jones messed up and your reaction was understandable but we still have to be professional. Jones will be taken care of. Go relax and take the rest of the day off.,Lets try and keep things balanced between work and home life. Try and give her and the kids the attention they deserve. You have to be a better husband and father.,I am disappointed to see someone I hold to such a high standard have a lapse in judgement. Fix yourself.,If you continue to let your failures at home pour into your professional life then we will have to discuss taking back some rank.,Pull yourself together and stop going out drinking alone on school nights. You are failing as a father and a husband.
" Look, clearly you have some issues you need to deal with. I understand that completely. If you need someone to talk to and discuss your problems with, Im here.","Everyone gets stressed out, sometimes life is rough, and for you it may seem like one big rough patch. Its important to remember that while you may be having issues, the way you treat your men can directly affect the number of problems you have with them.","You are a valued member of my team and I need you, but you have to maintain the professional bearing i know you are capable of.","Any time you are having issues with the platoon, I want you to stop and place yourself in their shoes. If you were them, you would want your leader to be even tempered and calculating. I know you can be that leader.","Maybe if you didnt go out drinking, youd have fewer home problems","It takes two to argue, the problems with your wife are just as much your fault as hers. You need to stop bring those problems to work.","If you treat your wiffe like you do your soldiers, its no wonder she doesnt like you.","If I see you talking like that to a soldier again, Ill see to it that its not just your wife giving you a hard time."
"SSG, give the issue at home a differernt place in your mind. Compartmentalize the issues in your head and dont confuse those feelings with those that involve work",there will be stressors in life. I will give you today and tomorrow off of work in order for you to go home and relax. here is the number for the babysitter that i use. you should give her a call and take your wife out to dinner tonight.,"SSG you have been doing a great job here the last few months. I have been hearing lots of good stuff about you. Knock off the crap, when it comes to yelling at your soldiers and take the long weekend to go spend time with the family.","SSG, at this point you are so close to promotion that anything you do now can jeopardize your career potentially. Knock off the crap and ill keep that in mind when it comes to reviews.","SSG, i think the issues in your life are being brought on by yourself. Your drinking habits are causing you to forget what is important with your life.","SSG, after 6 years in the army, the way your acting is that of a private. Leave the shit at home, or you will have bigger issues here at work.","Nobody gives a crap about your wife, she is probably lying to you anyways. forget her and focus on your work here.",The way you have been treating your soldiers is unacceptable. i don't care about your family life. you will be spending your days here until 1800 for the next 3 weeks.
"SSG Burch, if you need to take a day or two of leave to unwind, I understand.  This job can be stressful and it's difficult to keep work and home separate.  Take some time and go with your family somewhere relaxing.","SSG Burch, take some deep breaths and relax a second.  I know life can be stressful, so take the rest of the day off and do something nice with your family.  I'll make sure Jones gets his weapon cleaned properly.","SSG Burch, you have been an outstanding squad leader and I want to make sure you stay on top! If you want any assistance with anything let me know and we can work it out together, there are many resources available to you through the military.","SSG Burch, I'm about to head to the gym in a minute, how about you join me pump some iron and shoot some hoops to get some stress out? ","SSG Burch, I don't appreciate your language towards your squad members, but I understand you're stressed out.  Let's try not to take it out on your soldiers, and if you need anyone to talk to my door is always open.","It's been a long day, how about you take the rest of it off and head home for some rest? We can pick this up again tomorrow.","I don't care what is happening in your personal life, you will not talk to your soldiers in that way! Sort it out and do not verbally harass your soldiers!",Talk to your soldiers like that again and you and I are going to have a problem! Get your personal problems squared away before it hurts your career!
"SSG Burch, I understand your frustrations with your squad and their correlation with other problems you're having. Come to my office later and let's find a solution.","All couples go through problems like this, but you must understand that taking out your stress on your men is unfair and unprofessional. I'm willing to help you overcome this, but you have to meet me halfway.","Hell, Burch! Everybody goes through rough patches here and there. You'll be fine! Just be a little more professional with the boys in your squad, hooah?","Burch, take a couple days off and handle your issues at home. No hard feelings here. I want you to know we support you one hundred percent and we'll be here when you get back. Let me know if you need to talk.","I am unhappy with your actions today but I understand where these emotions are coming from. Negative repercussions are forthcoming, but I will do what I can to soften the blow.","I'm very disappointed in you, Staff Sergeant. You've embarrassed me, the platoon, and yourself. ","SSG Burch, your conduct is unbecoming of an NCO and highly unprofessional. Be at my office in one hour for a formal counseling.","Taking out your stress on the men serving under you indicates that you're weak-minded and a bully, and I have no tolerance for people of either type."
"I find that sometimes you have to leave home at home and work at work, right now you're here so lets figure out how to effectively motivate these guys to do the tasks given to them together. ","If you need some time with your wife to figure out some problems, all you have to do is ask, I can see what I can do to help you out so you can sort through this and not inadvertently take it out on your squad.","Rather than verbally abuse your squad, make the task more fun by making it a sort of competition, it might just as well de-stress you in the process.","Even though it's rough sailing at home, you have to leave it there and focus on the work that needs doing here.",You need to stop feeling sorry for yourself and focus on training your squad better.,Right now it seems you are not doing well at home and that is negatively affecting your performance here as well.,Nothing you are doing right now is helping anyone or getting anything done.,Ever consider that your negative attitude is undermining morale in the squad and making them not want to perform well for you?
"Hey, I'm really sorry about what you are going through. Is there anything i can do to help?","I'm really sorry about what you are going through and I want to help, but we need to work on separating problems at home from your job.",I'm so sorry! Please tell me how I can help you!,Oh my goodness! I'm so sorry to hear about that.,You need to learn how to separate your home life from what is happening at work.,"This kind of behavior is unacceptable, and you need to pull yourself together.",You need to learn how to separate your home life and your work life! What I saw you do is unacceptable!,Don't blame your problems at home for what you just did! That was completely unacceptable behavior!
"Relax, you aren't in trouble. I can help you with whatever you need.",Don't worry. I know you're a great soldier and will work it out.,"Lets keep up the intensity, but watch the profanity.",I know you're working hard. Just make sure not to cross the line.,"I wish I could help, but you still abused that soldier.","We all have our problems, don't bring them to work with you.",I don't care. This is the Army. Deal with it.,That isn't my problem. You'll need to stick around so I can counsel you.
"You need to just sit down and take a breather, let some of that stress go. ",If you are needed someone to talk to I am available any time. ,"You work very hard, and you should be proud of your squad. ","Your squad is one of the best performing squads we have, you should lighten up a little. ",You should know better than to take you home life stress out on junior soldier. ,Having family issues is not an excuse to become a poor leader. ,"If you think a dirty weapon is excuse enough to call someone retarded, you are very mistaken. I am going to have to take this higher because it is unacceptable. ",You need to learn how to separate your family life and your work life or there will be consequences.  
"SSG Burch, I understand that you told him to do something and he blatantly did not listen to you. However, the way you approached the situation was not okay. We could have pulled him aside separately and asked if he understood what you wanted.  ","SSG Burch, how are things going for you? I think that we could come to an agreement that the way the situation was handled was not the best route to take. Anytime you need help or anything, you know you can ask that of me and I will help anyway I can. ","SSG Burch, I know there is a lot going on in your personal life at home and I am sorry. Frustration can build up, so if you need to talk my doors always open. I care deeply about my soldiers and that they are physically and mentally okay. ","SSG Burch, I am so sorry you have things going on in your personal life. I hope you know my door is always open if you want to talk about any of it. Lets try to work out a afternoon when you can go home early and surprise your wife. ","SSG Burch, I am so sorry this is happening with whats going on at home. I understand you got frustrated but how do you think your soldier took your embarrassment? What if he has things going on at home too and now feels like he has no one on his side. ","SSG Burch, I care about how you are mentally and physically just like I do any of my soldiers. However, what I do not know I can't assume. Just like you cannot with your soldiers. If he wasn't in a stable place then you would have more problems for you. ","SSG Burch, you were wrong to call him out like that. As a leader you should know better than that. How would you like it if I started to yell at you! I am counseling you for that wrongful action!","SSG Burch, how dare you think it was okay to embarrass your soldier like that in front of your entire squad. You should be ashamed for doing that to him. He may have been in the wrong but so were you. I think you should take some leave time. "
"Listen SSG Barch, I understand you are having family issues and I am going to give you a half day to go see the Chaplain or seek out family counseling so you can preserve your relationship with your wife and get some better advice.

","I understand you are having issues at home SSG Barch, however, you should not bring them to work as that is unprofessional.  Given this, I am going to request that you take some personal time and go spend time with your wife and see if you guys can talk.","We have all been there SSG Barch, there is arguing in all relationships. No one is perfect. Take the rest of the day off and destress. When you come in tomorrow you better be nothing but smiles.",,How you handled this situation wasn't appropriate. Verbal abuse of any shape or form does not uphold the Army Values. I am going to counsel you and develop a plan of action for the future. In the mean time I expect you to get family counseling.,Verbal abuse is not acceptable and not going to be tolerated in my platoon. I understand there are issues at home but you will not bring them to work. This is a professional setting and how we function as a unit depends on each of our actions. Never again,Your issues at home stay at home. We all have problems. We do NOT take them out on our subordinates. For this I am going to counsel you on your behavior and failure to perform. Your subordinates actions are a direct reflection of your own. You have failed,"You failed your squad member by not teaching him appropriately. You do not maintain control of your Squad. It is not his fault for not having a clean weapon it's yours. How you handled this was unprofessional, further action will require discipline."
"SSG Burch it is understandable to be upset, but it is not far to your squad and lowers the moral when take issues out on them.  Use work to distract you from your stresses at home.",SSG Burch come to my office later and we will sit down and figure out a plan that will make help you lower some of your stress.,"SSG Burch you are one of my best squad leaders and you soldiers trust and respect you, a true leader does not let other issues influence current ones.","SSG Burch there are many soldiers and resources that are available to you, there is no reason you show go through this alone.  We can find away to help you with the problems at home.","SSG Burch I understand the soldiers can sometime do stupid things, but the way you are handling yourself right now is disappointing.  ","SSG Burch everyone has issues outside of the military, it is up to you to find a way to make sure that your personal issues do not influence your issues at work. ","I don't care what your soldiers did, it is your responsibility to train them, if they are below standard than that is your fault.","SSG Burch, I don't want to hear about you problems at home, you are on my time and when you are here your are training my troops the way I see fit."
Relax SSG Burch. I'm here to help.,Lets talk this over for a couple more minutes. Want to make sure I'm doing a good job to understand the stress you've been under so I can make your job easier.,Don't worry about the blow up right now. We'll talk about it later. Lets relax and grab some lunch first.,I love your passion to help the men. Lets figure out what we can do to make them even better.,Why would you let your stress come out and dump it on your soldiers like that?,Do you think your soldiers want to follow you when you rip them like that?,Sounds like your problems stem from being at happy hour too much?,Have you had drinking problems in the past?
"I understand the challenges of marriage and being in the military. Have you tried any of the Army resources available? Maybe marriage counseling or marriage retreat? If not, here is some information I have available for you.",,Understand completely (possibly share personal story regarding marriage) how about we get a few other sqd leaders together after duty hours and discuss how we can improve weapons maintenance issues  ,What methods have you already used to ensure weapons are being well maintained? Let's get the sqd leaders over to my office to discuss the problem.,Have you considered a divorce? Being in a negative environment is obviously affecting your performance and with the stress from here it does not look too good on you. ,,I don't care what is going on in your relationship. Home and work are two separate things. I do not want to hear that as an excuse again.,Regardless of what is going on in your personal life you do not speak to our soldiers like that. If you are having marital problems there are plenty of resources available to you and if you do not use them then that is your problem and not this platoon's.
"SSG Burch, I understand that you are under a lot of stress and that sometimes people say things they do not mean. Next time try to take a breathe and remember you are on the job, not at home.","SSG Burch, I know it is hard to keep home and work separated, but try and relax and remember that your team looks up to you for guidance.","SSG Burch just talk calmly to your subordinates, you are a valuable member of the platoon and your squad looks up to you.","SSG Burch, I see that stress is getting the best of you. How about you take a pass and relax this weekend.","SSG Burch, if you want to remain a leader in this platoon, you need to rethink how you talk to your subordinates.

","SSG Burch, your actions are not that of a squad leaders, you need to fix yourself before I fix you.","SSG Burch, the way you communicated with your squad is unacceptable. You will be receiving extra duties for the next week until you can act professional again.","SSG Burch, if I catch you speaking like this again to another member of this platoon, I will recommend you for dismissal."
"You will be fine SSG Burch. These things happen, lets talk about what we can do to help you out.","SSG Burch, people argue and I am sure you and your wife will get through these tough times. ",How about we get you an extra day or two off this week to go relax?,"I will help you blow off some steam, lets get a few of your best guys to go to the shooting range this weekend and grab a few beers after.","I understand you are having issues with your wife and I am sure it will blow over, but you cannot take your frustrations out on your squad.","You are a leader to your squad, when they see you break down they will break down. If you show them anger they will show it in return, it will then become a never ending cycle.",Stop being an intolerable leader and taking your frustration out on your squad members.,I am recommending you go see a counselor for anger management. You need to get yourself together.
SSG Burch I would like it if you took the next two days off to help relax you and to solve any problems you have that were not able to be fixed due to work.,"SSG Burch things like this happen all the time, i have arguments with my wife but i always try to keep my cool and just talk it out. Take the rest of the day off to relax and be stress free.","I understand all this stress can get to people, you are doing a fantastic job and are one of the best squad leaders, just find your cool and handle the troops like you always do.","SSG Burch, you are a great squad leader and being able to handle stress is what you do best. Find some time to talk to those around you and you'll succeed and probably get promoted.",Having stress is apart of this job and not letting it out on others is what true leaders do. The fact you cannot shows me you might not be a true leader.,"You have handled stress before, correct? This little incident makes me disappointed in you and your leadership skills.","Yelling at one of your soldiers in front of everyone is not correct. I've should have done the same to you so you know what that feels like, but that's not what a true leader does.",If i ever catch or hear about you verbally abusing one of your soldiers in front of the squad again you will be replaced.
"I know of a few counselors that can help you with what you are dealing with, I'll give you their info. Take the rest of the day off and set up an appointment. ","I will make sure the soldiers understand discipline is vital, we can speak to the squad together. ","SSG Burch, working while under that amount of stress is not efficient. You have a 3 day pass this weekend. Don't worry about work try to fix things at home. ",I will have your team leads finish the rest of your work today. You and I can take the rest of the day to create a plan to get your squad where you nee them to be. ,"SSG Burch, you need to stop talking to your subordinates like that. Their actions are a direct reflection of how you lead them. ",You will not leave until things are cleared up between your squad and yourself. ,"I will be speaking with the company commander about your actions today, I am sure he will consider disciplinary action. ",You are wrong. Your squad would not act like that if you were a better leader. Don't take out your frustrations on them. 
"SSG Burch, you are our one of out best PL's, let's focus on getting your family affairs remedied. I will be scheduling an appointment for you and your wife to get cousneling. The first session is mandatory.","SSG Burch, focus on your family, as your happiness is vital to this platoons readiness. Take the day off and think about how we can fix this together.","SSG Burch, although its highly unprofessional I understand your frustrations. How about you and I work together to fix the issues you are describing?","SSg Burch, I understand the difficulties of marriage, my wife and I argue as well, but we must not allow that to affect our troops as if we lose them, its likely we lose the marriage, or vice versa. Then, we lose two families.",Leave your marraige at home and take care of soldiers when you're here.,Would you like me to talk to you like that?,"Good job, keep up the good work and set those soldiers straight!",Lay into him harder next time.
"SSG Burch, I understand it's difficult to deal with troops who are constantly screwing up, but the way you're handling the situation is not the right way to go about it.","SSG Burch, let's do some yoga to help you relieve some of the stress you've been enduring lately.","SSG Burch, take some time off to resolve your personal matters. Perhaps, I can walk you down to the Chaplain. He may be able to help you deal with your family-related stress.","SSG Burch, you're a great NCO, but you shouldn't bring your personal matters to work. If you feel comfortable doing so, then let's discuss the problems you've been having at home to come up with a solution.","SSG Burch, I'm disappointed that you're treating your Soldiers the way you are. This is not like you at all.","SSG Burch, I don't know what to do with you right now. Not only are you making yourself look bad, but you're making the Platoon look bad.","SSG Burch, you should not be taking your problems out on your squad. If I hear that you are continuing to do so, then I will have you kicked out of the army.","SSG Burch, you need to leave the issues you're having with your family at home. You need to apologize to Jones and go somewhere for a while to cool off."
"Listen, calm down. I am sorry about what is happening at home but that does not mean that you can take this out on your soldiers. Everything will be ok when it comes to your family and your soldiers' weapon. ",I promise everything will be ok when it comes to the home front. It is not your soldiers fault that your personal life is not going according to plan but they cannot suffer for that. Please try not to take your anger out on them.,"Hey SSG, everything is going to be ok. Forget about the weapon and the soldiers for a minute. Since you like Happy Hour so much, let me buy you a couple rounds and we can talk about it.","It is ok about the weapon. Do not worry about that. I am sure that your soldiers know that you are a great leader. We should all go out together for some beers and have some team building time.
","Listen SSG, I understand that you are upset about the weapon but your soldiers don't like or respect you so get used to the fact that they will never listen to you or do what you tell them to.","SSG, that sucks that you and your wife argue alot but that is what marriage is and that will not change. The arguments will only get worse and you will have many more nights of sleeping on the couch.","How dare you speak to your soldiers that way. It is not their fault that they didn't clean their weapons, it is your fault. Because it is your fault, you are going to get into a lot of trouble and I am going to dock your pay.",You and your wife argue because you are a shitty person. That is the same reason your soldiers do not listen to you. I am going to dock your pay until you decide to improve your situation.
"SSG Burch, you have a lot on your plate right now. Take the rest of the day off to go home, relax, and try to sort some things out. ","SSG Burch, your performance is critical to the success of the company; I need you calm down and be the leader I know you can be for your men. ","I will work to get you some time off in order to get you back into the right state of mind, you are a critical component to the success of this platoon.","You have the hardest working men in the entire company, try not to let your personal life spill into your professional life an maintain that high standard you have already set.",I understand you are under a lot of stress but if you continue to treat you men this way I will have no choice but to give you a negative counseling statement. I won't tolerate undue verbal harassment. ,"I'm sorry about your personal problems SSG Burch, but right now I need you to go home for the rest of the day so that you don't continue to lower the readiness of the platoon with your bad attitude. ","That soldier isn't retarded, you are for thinking you can speak to someone that way. ","If I ever hear you speak to one of your soldiers that way again I will not hesitate to chew you out in front of the entire formation, do I make myself clear?"
"SSG Burch, I understand you have many family issues right now. However, please work on the way you discipline the soldiers. ","SSG Burch, I understand what has been going on between you and your wife. However, there are professional and unprofessional ways to discipline soldiers.","SSG Burch, I know you are having family problems right now, I understand. I am here if you need someone to talk to . Please continue to discipline the soldiers, but in a professional way. ","SSG Burch, I see you are a hardworking NCO. I understand you are having family issues at the moment. Please try and leave family matters at home. You are someone the soldiers look up to. I need you to be professional and a roll model for the soldiers.","SSG Burch, I can see clearly there are some issues with your family life. However, you cannot insult your soldiers. Making your soldiers feel worthless does nothing to better this platoon.","SSG Burch, I can see you are a hardworking NCO. However, you clearly need to work on your professionalism, and how to treat your soldiers. ","SSG Burch, you need to be more professional. How you are talking to your soldiers is uncalled for. We are here to teach these soldiers, not make them feel worthless.","SSG Burch, leave your family problems at home. I do not care about what is going on in your home life. We are here to do a duty and nothing more. "
